Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
12/5/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.2,9.5,NA,NA
12/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.3,10.5,NA,NA
12/12/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.5,10.2,NA,NA
18/12/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.7,12.3,NA,NA
19/12/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.3,12.2,NA,NA
25/12/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.2,7.9,NA,NA
26/12/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.3,7.6,NA,NA
11/2/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.6,26.6,NA,NA
11/3/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.6,23.8,NA,NA
11/9/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,27.6,NA,NA
11/10/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.4,30.2,NA,NA
16/11/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,15.2,28,NA,NA
17/11/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.4,31.8,NA,NA
23/11/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,21,NA,NA
24/11/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.2,20.4,NA,NA
30/11/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.8,25.8,NA,NA
12/2/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.8,22.7,NA,NA
12/3/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.3,16.5,NA,NA
12/9/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.8,18.8,NA,NA
12/10/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,15.8,19.3,NA,NA
16/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,15,18.5,NA,NA
17/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.5,18.8,NA,NA
23/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.7,12.7,NA,NA
24/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,15,14.5,NA,NA
30/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.7,10.3,NA,NA
31/12/2006,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.3,13.8,NA,NA
1/4/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,12,40,NA,NA
1/5/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,9,34.8,NA,NA
1/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,7,30.3,NA,NA
1/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6.7,30.7,NA,NA
19/01/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,31.8,NA,NA
25/01/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,9.8,23.7,NA,NA
26/01/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,17.7,NA,NA
2/1/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.7,39.8,NA,NA
2/2/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,7.5,36.7,NA,NA
2/8/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,23.3,NA,NA
2/9/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.7,36.7,NA,NA
15/02/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,15.8,NA,NA
16/02/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,23,NA,NA
3/1/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.3,22.2,NA,NA
3/2/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.8,26.3,NA,NA
3/8/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,19.2,NA,NA
3/9/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.2,22.8,NA,NA
16/03/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.2,22,NA,NA
22/03/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.5,20.2,NA,NA
23/03/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.7,24.3,NA,NA
29/03/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.8,19,NA,NA
30/03/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,17.5,NA,NA
4/5/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.5,12.8,102,241
4/6/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.5,16.2,97,234
4/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,21.5,116,287
13/04/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,22.8,101,264
26/04/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,16.3,100,235
27/04/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.2,20.7,124,304
5/3/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.2,18.3,107,227
5/4/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,20.3,126,248
5/10/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.5,16.5,119,260
5/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,17.5,119,275
17/05/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,18,99,219
18/05/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6.3,36.8,89,239
24/05/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6,16.8,48,181
25/05/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.7,20.2,134,262
31/05/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,19,100,217
6/1/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,21.5,84,203
6/7/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.7,17.2,60,164
6/8/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.5,18.7,64,166
14/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.3,16.5,74,172
15/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6.2,23.3,63,166
21/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6,15.3,52,120
22/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6,20.5,46,139
28/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.8,16.3,36,89
29/06/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,29.7,52,114
7/5/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,11.4,14,31
7/6/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.2,11.4,26,57
7/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.5,11.3,34,67
13/07/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,10.4,32,78
19/07/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.2,12.4,19,69
20/07/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,13.7,15,60
27/07/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.5,16.3,23,45
8/2/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3,12.8,14,40
8/3/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.8,16.5,14,36
8/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.3,19.7,44,118
17/08/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.2,13.8,17,45
23/08/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,12.3,21,51
24/08/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,14.5,25,65
30/08/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.3,12.7,NA,NA
31/08/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.7,16.5,NA,NA
9/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6,22.8,72,217
14/09/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.3,15.5,37,83
20/09/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,13.7,25,60
21/09/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.5,20.8,40,96
27/09/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.5,12.2,38,86
28/09/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,15.3,33,83
10/4/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4,15.8,37,110
10/5/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.7,18.8,49,102
10/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.8,15,47,133
10/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,3.5,12.5,34,96
18/10/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,16.5,69,147
19/10/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.2,16.7,64,147
15/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.3,16,61,181
16/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.8,15,87,129
29/11/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,6.3,20.8,107,271
12/6/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,7.5,17.3,102,222
12/7/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,9.7,29.5,68,223
13/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5,22.5,84,216
14/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,4.3,22.3,79,206
20/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,8.2,28.4,106,286
21/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,11.7,32.2,106,289
27/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,7.5,18,120,240
28/12/2006,Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and others,5.8,36.7,116,285
1/6/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.8,33.3,NA,NA
1/7/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,12.8,39.3,NA,NA
13/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,8.8,36.2,NA,NA
14/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,9,36,NA,NA
20/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.7,32.2,NA,NA
21/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,29.5,NA,NA
27/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.2,36.7,NA,NA
28/01/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4,43,NA,NA
2/3/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.3,27.8,NA,NA
2/4/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.2,40.3,NA,NA
2/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.3,27.3,NA,NA
2/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,24.2,NA,NA
17/02/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.5,40,NA,NA
18/02/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.8,44,NA,NA
24/02/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,28.3,NA,NA
25/02/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.8,35,NA,NA
3/3/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.7,24.8,NA,NA
3/4/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.8,39.5,NA,NA
3/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,16.8,NA,NA
3/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.7,20.7,NA,NA
17/03/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,15.5,NA,NA
18/03/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,20.2,NA,NA
24/03/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,25,NA,NA
25/03/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,29,NA,NA
31/03/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.7,21.5,NA,NA
4/1/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,18.2,113,296
4/7/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,21.5,111,262
4/8/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,19.3,102,211
14/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,18.5,87,245
15/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5,18.8,90,233
21/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,18,102,249
22/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,18.8,111,261
28/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,17.8,102,204
29/04/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5,17,86,337
5/6/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.2,18.2,85,201
5/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,16.7,93,217
13/05/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.3,20.5,100,262
19/05/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.5,17.5,55,189
20/05/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.5,17.7,51,177
27/05/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,17.2,51,143
6/2/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,17.2,57,127
6/3/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.3,18.7,50,113
6/9/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,14.5,25,64
6/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.5,16.3,50,120
16/06/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6,17.2,46,128
17/06/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.5,21,68,148
23/06/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,7.5,13.8,86,202
24/06/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,17.2,35,84
30/06/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.2,14.3,37,119
7/1/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,7,14.2,28,94
7/7/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.3,10.7,30,94
7/8/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,20.3,46,161
28/07/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,16.5,22,65
29/07/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,13.7,22,61
8/4/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,2.7,9.5,19,55
8/5/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,2.5,NA,NA,NA
18/08/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,13.7,46,157
19/08/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,2.7,13.7,43,149
9/1/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,14.8,NA,NA
9/2/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,17.2,NA,NA
9/9/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.3,13.5,32,149
15/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.3,13.3,38,118
16/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,2.8,15.7,38,120
22/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.3,6.9,23,84
23/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,8.7,36,70
29/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4,14.5,48,182
30/09/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.2,13.5,36,109
10/6/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5,9.9,33,61
10/7/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,9.6,32,93
10/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5,15.8,66,188
13/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.5,8.6,68,223
14/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.2,14.5,60,244
21/10/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.7,18.5,514,910
11/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.8,22.5,90,240
17/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.5,15.5,77,302
18/11/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,14.7,82,352
12/8/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4,17.7,119,487
12/9/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,6.3,19,97,435
15/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,5.2,14,69,221
16/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,16.8,89,302
22/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.8,29.2,115,387
23/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,3.5,21.7,100,316
29/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4.5,23.8,133,351
30/12/2006,Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and others,4,20.7,126,403
1/2/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.7,26.3,NA,NA
1/3/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.7,27.7,NA,NA
1/9/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.8,20.8,NA,NA
1/10/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,10.3,19.8,NA,NA
16/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.3,22.3,NA,NA
17/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.7,22.3,NA,NA
23/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5,13.5,NA,NA
24/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.8,13.8,NA,NA
30/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5,14.8,NA,NA
31/01/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,7.5,24.5,NA,NA
2/6/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.7,17,NA,NA
2/7/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.2,17.2,NA,NA
13/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.2,16.3,NA,NA
14/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.2,15.3,NA,NA
20/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.7,19.2,NA,NA
21/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,6,31.3,NA,NA
27/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.8,18,NA,NA
28/02/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.8,16.7,NA,NA
3/6/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.5,17.2,NA,NA
3/7/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.5,17.8,NA,NA
13/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.7,12,NA,NA
14/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.7,11.2,NA,NA
20/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.2,13.2,NA,NA
21/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,2.3,16,NA,NA
27/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4,13.5,NA,NA
28/03/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.7,21.5,NA,NA
4/3/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,3.7,12.3,122,322
4/4/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.2,14.2,128,313
4/10/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.5,17.8,103,269
4/11/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4,15.2,148,319
17/04/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.7,14.8,141,304
18/04/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5,15.8,93,248
24/04/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,NA,NA,70,178
25/04/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,NA,NA,88,190
5/1/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,4.2,12.8,135,289
5/2/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,5.2,14.9,94,222
5/8/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,2.3,9.2,79,197
5/9/2006,Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive Areas,2.8,9.7,102,219
