Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
11/7/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,14.6,26,NA,NA
11/8/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,14.4,22.8,NA,NA
14/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12,21,NA,NA
15/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,21.4,NA,NA
21/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,20.6,NA,NA
22/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,14.6,26,NA,NA
28/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.4,22.8,NA,NA
29/11/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,20.6,NA,NA
12/1/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.3,12.4,NA,NA
12/7/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,12.6,NA,NA
12/8/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.5,15.5,NA,NA
14/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,17,NA,NA
15/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.8,13.5,NA,NA
21/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,15.8,NA,NA
22/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,15.8,NA,NA
28/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,12,NA,NA
29/12/2006,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,10.8,NA,NA
31/10/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.8,13.2,NA,NA
11/1/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.8,15,NA,NA
11/4/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.4,14.8,NA,NA
11/6/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.4,22.4,NA,NA
11/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.4,14.8,NA,NA
13/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.8,15.4,NA,NA
18/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,11.4,20.2,NA,NA
20/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.2,18,NA,NA
25/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.6,17.8,NA,NA
27/11/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.6,13.4,NA,NA
12/4/2006,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.8,12.9,NA,NA
