Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.5,9.8,43,NA
1/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.7,9.1,52,NA
1/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.3,10.5,48,NA
1/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,11.5,57,NA
17/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.5,12.5,72,NA
18/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.2,13.7,75,NA
24/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,5.5,9.8,38,NA
25/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.7,10.5,37,NA
31/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.3,10.3,42,NA
2/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.5,12.3,52,NA
2/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.2,14.2,62,NA
2/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9,11.9,69,NA
14/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.3,11.8,62,NA
15/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9,11.7,57,NA
21/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8,12.8,47,NA
22/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,13.2,55,NA
28/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,16.5,57,NA
29/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.5,14.5,65,NA
3/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.8,9.5,59,NA
3/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10,11.8,79,NA
13/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7,11.2,63,NA
14/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.5,8.7,63,NA
27/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7,10,51,NA
28/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.7,10.2,48,NA
4/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.8,14.7,73,NA
4/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.3,15,63,NA
4/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.3,12.8,75,NA
4/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12,13.8,74,NA
17/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.2,13.7,73,NA
24/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9,12.7,79,NA
25/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,11.3,67,NA
5/2/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.8,16.3,76,NA
5/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.2,15.5,70,NA
5/9/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,15.7,79,NA
15/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.3,11.2,56,NA
16/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,14.3,60,NA
22/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,14.3,60,NA
23/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,16.2,76,NA
29/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.2,15,78,NA
30/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,11.7,68,NA
6/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.3,13,64,NA
6/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,12.2,56,NA
13/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,13.5,66,NA
19/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.8,11.8,53,NA
20/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,13.3,60,NA
26/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.7,12.2,59,NA
27/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8,11,66,NA
7/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13.3,70,NA
7/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.3,14,74,NA
7/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10,13.8,37,NA
7/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9,12.5,69,NA
17/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.5,12.2,67,NA
18/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.3,11,74,NA
24/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,15.5,64,NA
25/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.7,11.2,68,NA
31/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,12.5,47,NA
8/1/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10,12,45,NA
8/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13.2,53,NA
8/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,13.8,55,NA
14/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,12.7,60,NA
21/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.7,14.5,72,NA
22/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10,16,70,NA
28/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,16.7,67,NA
29/8/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,15.8,61,NA
9/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,12.8,46,NA
9/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.5,12.2,49,NA
9/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.8,51,NA
9/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12,52,NA
18/9/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,13.8,54,NA
19/9/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,13.8,56,NA
25/9/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.5,16,59,NA
26/9/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,14.5,61,NA
10/3/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.7,11.3,75,NA
10/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,11.5,75,NA
16/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.7,11,67,NA
17/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13,72,NA
23/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.7,79,NA
24/10/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.7,13.5,80,NA
11/6/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.3,78,NA
11/7/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.7,12.8,82,NA
13/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,11.8,78,NA
14/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,13.8,79,NA
20/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,12,75,NA
21/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.8,80,NA
27/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,11.2,77,NA
28/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,13,77,NA
12/4/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,11.7,65,NA
12/5/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,11.7,71,NA
12/11/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.3,10.8,71,NA
12/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.2,12.8,79,NA
18/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,11,81,NA
19/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,12.5,76,NA
25/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,11.3,75,NA
26/12/2008,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,12,78,NA
1/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.3,6.7,25,NA
1/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.8,7.8,33,NA
1/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.2,8.6,33,NA
14/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.8,9.1,37,NA
15/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.2,10.5,33,NA
21/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,3.3,6,28,NA
22/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4,6,20,NA
28/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.2,6,28,NA
29/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.7,7.3,23,NA
2/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.7,6.5,27,NA
2/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4,6.2,24,NA
2/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5,8.3,37,NA
2/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.8,9.3,35,NA
18/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5,7.8,36,NA
25/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.8,7.8,37,NA
26/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.2,8.4,38,NA
3/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.7,5.3,35,NA
3/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.2,8.3,34,NA
3/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.2,6.8,32,NA
3/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5,7.9,34,NA
17/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.2,7.4,29,NA
18/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.3,8.7,26,NA
24/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.8,6.8,26,NA
25/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.5,6.3,24,NA
31/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.5,6.2,24,NA
4/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.2,6.2,33,NA
4/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7,8.6,36,NA
4/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,7.9,38,NA
15/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.2,8.9,38,NA
21/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.5,8.6,42,NA
22/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,9.2,40,NA
28/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.8,8.4,39,NA
29/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.3,8.3,39,NA
5/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.7,6.2,38,NA
5/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.3,6.2,40,NA
5/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.3,10.1,41,NA
13/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.7,11.3,35,NA
20/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.5,9,43,NA
26/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.7,9.1,39,NA
27/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.7,10.2,35,NA
6/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5,8.4,37,NA
6/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,4.7,6.5,27,NA
