Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
6/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.3,7.6,29,NA
6/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7,7.8,33,NA
16/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.7,6.3,36,NA
17/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.2,7.4,39,NA
23/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.7,7.8,28,NA
24/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.7,8.8,28,NA
30/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,5.7,7.4,28,NA
7/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.7,9.2,30,NA
7/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6,7.8,34,NA
7/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,9.3,43,NA
14/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.2,8.1,37,NA
15/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7,7.1,32,NA
21/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.3,8.8,35,NA
22/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,7.1,52,NA
29/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.3,8.8,36,NA
8/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.5,9,36,NA
8/5/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,11.2,37,NA
8/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6,8.8,33,NA
8/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.8,10.3,32,NA
18/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.7,9.7,36,NA
19/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.3,10,36,NA
25/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.7,11.8,39,NA
26/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.8,8.7,37,NA
9/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9,11,45,NA
9/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.7,12.2,45,NA
9/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.2,11.5,32,NA
9/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,10.2,31,NA
15/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.7,11.2,44,NA
16/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.3,12.7,41,NA
22/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,10.3,31,NA
23/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.5,13.3,45,NA
29/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.2,12.7,36,NA
30/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.8,12.3,38,NA
10/6/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,10.2,62,NA
10/7/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.5,10.8,57,NA
13/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,10.3,56,NA
14/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.3,11.8,63,NA
20/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9,10,53,NA
21/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.7,11.2,46,NA
11/3/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.3,10.3,49,NA
11/4/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.2,11,55,NA
11/10/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.7,12.3,51,NA
11/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.2,12.3,48,NA
17/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,8.7,41,NA
18/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.8,11,42,NA
24/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10,11.8,48,NA
25/11/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,10.8,12.7,53,NA
12/1/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,10.8,49,NA
12/2/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.2,10.2,44,NA
12/8/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.2,11.8,51,NA
12/9/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8,10.2,48,NA
15/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,9.7,10.8,56,NA
16/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.7,11.5,48,NA
22/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,7.5,10.3,48,NA
23/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,6.8,8.8,40,NA
29/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.8,10.8,54,NA
30/12/2008,Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and others,8.3,10.3,42,NA
1/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13,18.2,76,NA
1/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.7,15.7,76,NA
1/12/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.8,22.3,104,NA
13/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,15.4,89,NA
20/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.7,19.7,108,NA
27/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.5,19,80,NA
2/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.7,17.7,90,NA
2/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.5,14.7,76,NA
2/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.3,18.7,95,NA
2/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.5,15.2,80,NA
16/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.5,18.3,99,NA
17/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.3,13.8,82,NA
23/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.3,19.7,105,NA
24/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.5,15.7,85,NA
3/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.5,14.3,91,NA
3/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,7.2,13.5,107,NA
3/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.8,20.7,106,NA
3/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.3,14.5,88,NA
15/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.2,16.7,102,NA
16/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,8.8,12,85,NA
23/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.8,17.5,82,NA
29/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,19,16.8,70,NA
30/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.2,15.7,85,NA
4/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,17,98,NA
4/12/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.8,20.5,107,NA
13/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,17.7,89,NA
19/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.8,20.5,116,NA
20/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.3,16.3,110,NA
26/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.8,18.8,97,NA
27/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.8,20.7,89,NA
5/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,15.5,24,115,NA
5/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,15.5,22.7,92,NA
5/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.3,19,102,NA
5/11/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.7,16.2,89,NA
17/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.5,16.2,86,NA
18/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.5,20.3,100,NA
24/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.2,17.3,89,NA
25/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,15.7,87,NA
31/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.8,17,101,NA
6/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.3,13.5,93,NA
6/7/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,15.5,84,NA
6/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.3,14.5,78,NA
14/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13,13.7,64,NA
15/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.7,14.3,85,NA
21/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.8,16,77,NA
22/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.3,13.2,71,NA
28/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.3,11.7,81,NA
29/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,8.5,10.3,70,NA
7/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.7,15.3,87,NA
7/6/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.3,14.3,74,NA
7/12/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.5,14.3,87,NA
13/7/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.8,17,74,NA
19/7/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.7,16.3,92,NA
20/7/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.5,15.3,85,NA
26/7/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,12.2,92,NA
8/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.5,14.8,62,NA
8/3/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,13.5,84,NA
8/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.2,15.7,77,NA
8/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.7,17.3,100,NA
16/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.7,18.7,70,NA
17/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.7,20.2,94,NA
23/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,14.5,20.5,115,NA
24/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,13.5,18.7,94,NA
13/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,7.3,10.7,43,NA
14/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.2,14.3,54,NA
20/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,8.2,11.7,42,NA
21/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,12.7,45,NA
27/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.3,15.8,63,NA
28/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.7,20.2,72,NA
10/4/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.3,12.3,124,NA
10/5/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.2,13.3,141,NA
10/11/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.2,11.7,139,NA
10/12/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.5,13.7,110,NA
18/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.8,16.2,154,NA
19/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11,15.2,132,NA
25/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12,18.5,110,NA
26/10/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.7,13.5,132,NA
11/1/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.3,14.3,140,NA
11/2/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,11.2,13.3,157,NA
11/8/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,10.2,11.8,122,NA
11/9/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,9.2,10.8,115,NA
15/11/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.5,14,154,NA
16/11/2008,Maharashtra,Amravati,Rajkamal Square,Residential and others,12.3,14.7,164,NA
