Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,11.8,NA,NA
1/5/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,13.2,NA,NA
1/11/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,12.7,NA,NA
1/12/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,11.7,NA,NA
18-01-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,13.8,NA,NA
19-01-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.3,11.8,NA,NA
25-01-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.3,16.2,NA,NA
2/8/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13,68,NA
2/9/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10,13,63,NA
15-02-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12,15.3,71,NA
22-02-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.8,13.3,73,NA
23-02-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,14.5,66,NA
3/1/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.3,13,70,NA
3/2/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,13.5,74,NA
3/8/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,13.8,87,NA
3/9/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,17,75,NA
15-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,11.8,74,NA
16-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,14.7,82,NA
22-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.3,15.7,74,NA
23-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,15.7,66,NA
29-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,15.3,80,NA
30-03-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.2,16.8,80,NA
4/5/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.4,13.4,84,NA
4/12/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,14.9,19.6,113,NA
13-04-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.9,16.5,82,NA
20-04-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.6,15.6,91,NA
26-04-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,17.1,104,NA
27-04-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.2,15.5,86,NA
5/3/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.1,18.9,84,NA
5/4/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,13.3,87,NA
5/10/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.6,14.5,100,NA
5/11/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.2,13.8,97,NA
17-05-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,12.8,87,NA
18-05-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.6,14.6,82,NA
23-05-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.3,17,87,NA
24-05-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.7,15.6,78,NA
31-05-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,12.1,81,NA
6/1/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.9,13.2,69,NA
6/7/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,8.8,59,NA
6/8/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,10.7,68,NA
14-06-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.8,8.2,38,NA
15-06-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8,10.5,55,NA
21-06-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.5,6.9,41,NA
22-06-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.8,8,29,NA
28-06-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.9,6.8,36,NA
7/5/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.2,5.3,24,NA
7/6/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.3,6.3,19,NA
7/12/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.3,9.3,37,NA
13-07-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7,8.6,46,NA
19-07-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,11.7,55,NA
20-07-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8.2,12.4,82,NA
26-07-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8,7.9,53,NA
27-07-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,9.5,63,NA
8/2/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,5.8,7.4,34,NA
8/3/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,6.2,8.3,31,NA
8/9/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,11.7,45,NA
8/10/2007,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,5.8,8.4,35,NA
16-08-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9,12,52,NA
17-08-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,8,10,53,NA
23-08-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.8,11,47,NA
24-08-07,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,7.2,9.2,53,NA
