Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
2/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,10.5,94,226
2/7/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,74,233
2/9/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,92,289
14-02-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,16.1,139,321
16-02-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,58,204
21-02-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.3,122,275
23-02-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,14.4,57,211
3/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,14.4,170,245
3/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,20.2,99,320
3/7/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,69,264
3/9/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,17.7,95,303
14-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,26.5,163,570
16-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,20.3,88,312
21-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,121,378
23-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,8.7,109,372
28-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,186,382
30-03-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,16.4,90,227
4/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,25.6,NA,267
4/6/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,27.5,211,737
4/8/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,238,478
15-04-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,17.8,74,206
20-04-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,12,81,147
25-04-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,12.4,86,174
29-04-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,13.2,74,172
5/6/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,17.1,152,400
5/9/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,62,289
13-05-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,97,218
16-05-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,82,317
20-05-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,64,220
25-05-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,76,210
30-05-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,143,253
6/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,12,135,259
6/6/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,17.3,88,327
6/8/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,214,399
13-06-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,156,262
15-06-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,83,180
20-06-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,71,128
22-06-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,8.2,91,232
7/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,5.7,121,231
7/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,74,233
27-07-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,38,100
8/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,19,37
8/5/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,18,48
8/8/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,47,186
24-08-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,21,117
26-08-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,29,190
29-08-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,40,159
9/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,92,289
9/7/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,10.6,29,108
9/12/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,10.2,26,62
16-09-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,10.6,39,172
19-09-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,183,427
23-09-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,155,274
26-09-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,179,473
10/1/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,137,262
24-10-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,8.7,80,248
26-10-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,72,187
28-10-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,62,181
11/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,20.2,158,262
11/7/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,17.5,63,186
11/9/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,43,300
14-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,53,159
16-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,13.7,NA,245
18-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,6.8,117,269
21-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,35,98,235
23-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,24.7,117,282
28-11-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,26.6,132,330
12/2/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,22.7,85,188
12/7/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,NA,95,319
12/9/2005,Maharashtra,Nagpur,Maskasath,Residential and others,NA,24,79,160
14-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,16.4,113,253
16-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,12.8,160,308
21-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,14.3,110,185
23-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,22.6,80,185
28-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,51.3,147,318
30-12-05,Maharashtra,Nagpur,Maskasath,Residential and others,NA,56.3,202,404
1/3/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,7.2,73,209
1/5/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,88.4,232,662
1/10/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,69,199
1/12/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,63.1,181,452
17-01-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,66,303
19-01-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,16,55,311
24-01-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,172,418
2/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,20.2,63,149
2/4/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.2,102,249
2/9/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,40,60,137
2/11/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.1,78,147
16-02-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,9.5,58,141
18-02-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,13.1,88,186
23-02-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,9.5,56,121
25-02-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,17.1,67,156
3/1/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,58,145
3/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,21,NA,NA
3/3/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,57,164
3/4/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,16.8,91,219
3/9/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,17.7,65,224
3/11/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,22,NA,NA
15-03-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,NA,182
16-03-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,22.2,NA,NA
18-03-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,21.3,99,220
23-03-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,10.2,72,177
30-03-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,14.8,81,221
4/1/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,85,180
4/4/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,19.8,89,218
4/8/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,107,267
4/11/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,19.8,80,257
15-04-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,17,44,127
27-04-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.1,78,177
5/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,60,145
5/4/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.6,77,129
5/9/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,100,162
16-05-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,8,80,135
30-05-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,16.3,70,124
6/1/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,8.5,82,176
6/3/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,75,144
6/8/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,106,204
6/10/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,9.7,140,380
15-06-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,60,388
17-06-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,51,110
22-06-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,28.8,64,196
24-06-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,72,141
29-06-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,16,45
7/1/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,5,96
7/4/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,NA,NA
7/8/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,10.5,21,39
7/11/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,13.6,28,59
15-07-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,11.9,NA,NA
8/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,12,21
8/3/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,15,42
8/8/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,10.5,26,69
8/10/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,30,84
17-08-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,10.6,30,83
19-08-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.5,13,31
22-08-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,34,87
26-08-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,7.9,27,81
9/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,7.9,38,115
9/5/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,10.9,16,38
9/12/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,11.6,63,270
19-09-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,207,350
21-09-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,143,258
26-09-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,92,363
28-09-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,101,194
10/3/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,84,294
10/5/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,50,213
10/7/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,20,133
10/10/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,65,149
14-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,30,64
17-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12,52,109
19-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,32,70
21-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.6,27,92
26-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,92,157
28-10-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,125,202
11/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,179,263
11/9/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,12.9,114,167
11/11/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,98,139
16-11-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,16.4,63,159
23-11-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,17.5,58,144
25-11-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,8.7,95,177
12/2/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,11.8,44,138
12/5/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,26.8,78,142
12/9/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,291,374
12/12/2005,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,186,272
16-12-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,38.7,77,176
19-12-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,26.2,97,150
23-12-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,4,12.1,60,127
26-12-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,46.4,112,172
30-12-05,Maharashtra,Nagpur,NEERI Lab,Residential and others,NA,NA,251,409
1/1/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,31.2,21.5,81,107
1/5/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36.5,29.3,108,127
1/8/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,42,23.4,92,147
1/12/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,48.2,25,82,105
15-01-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36,25.2,78,102
19-01-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,34.2,21.7,74,125
22-01-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,44.5,19.5,70,115
29-01-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,29.5,20.3,63,143
2/2/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37.5,25.2,91,127
2/5/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,28.8,27,106,128
2/9/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,32.8,27.8,93,113
2/12/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,30.7,28.5,77,133
16-02-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,43.5,25,87,140
19-02-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33.7,28.7,82,126
23-02-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,42.2,26.5,60,98
26-02-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,29.2,25,60,98
3/2/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,49.5,33.8,107,122
3/5/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41.5,34.3,126,142
3/9/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,31,38.5,128,152
3/12/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,22,39.2,121,150
16-03-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41.2,33.7,106,131
19-03-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37.8,32.7,89,113
23-03-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33,27.5,70,119
26-03-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,34,22.7,62,98
4/2/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38.7,30.8,78,114
4/6/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,34.5,38.2,102,128
4/9/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,27.7,28.5,86,95
13-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33.2,27.8,103,118
16-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,28.2,40.3,103,118
20-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,20.8,24.2,NA,NA
23-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,32,20.8,87,118
27-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,22.2,18.2,68,NA
30-04-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38.5,27.8,70,105
5/4/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38.2,25.5,101,220
5/7/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35,35.7,110,233
5/11/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35.3,37.5,112,200
14-05-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,30.5,37.5,145,183
18-05-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,39.3,33.5,127,208
21-05-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,48,37.2,127,218
25-05-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,47.3,29.7,122,220
28-05-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,27.2,23,100,195
6/1/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,18.2,16.7,70,98
6/4/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,24.8,20.3,77,90
6/8/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,29.2,21.2,72,80
6/11/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,24.3,26.8,83,NA
15-06-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,20.2,21.5,82,NA
18-06-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,20.8,20.7,68,82
22-06-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,22.7,20.2,54,98
25-06-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,25.7,18.3,73,105
29-06-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,19,23.7,67,88
20-07-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,43,33,155,373
23-07-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41,35,135,350
27-07-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33,27,100,221
30-07-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36,27,117,314
8/3/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,43,32,108,284
8/6/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38,29,99,205
8/10/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,27,108,236
13-08-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,39,31,117,249
17-08-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,31,103,226
20-08-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,44,36,132,276
24-08-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,30,136,283
27-08-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,46,36,137,294
9/3/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41,31,123,269
9/7/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,44,36,130,273
9/10/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,42,35,130,281
14-09-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,45,33,127,272
17-09-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,32,110,239
21-09-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,31,25,94,209
24-09-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41,34,115,245
28-09-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,33,128,267
10/1/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,31,108,238
10/5/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,32,24,112,237
10/8/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33,28,119,242
10/12/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36,32,120,252
15-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,32,27,105,232
19-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,29,110,230
22-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,41,35,123,253
25-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,29,25,121,182
26-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,30,102,222
29-10-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36,29,100,222
11/5/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,33,27,103,213
11/9/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35,27,106,219
11/12/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,31,117,227
16-11-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,30,114,235
19-11-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,31,111,219
23-11-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35,31,110,223
26-11-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,34,30,110,221
30-11-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35,27,106,219
12/3/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38,30,108,223
12/7/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,32,30,102,216
12/10/2005,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,35,29,114,219
14-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,39,31,92,204
17-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,40,31,110,213
21-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,34,29,104,216
24-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,37,29,99,207
28-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,36,30,101,206
31-12-05,Maharashtra,Nashik,VIP Industrial Area,Industrial Areas,38,33,107,208
1/3/2005,Maharashtra,Nashik,NMC Building,Residential and others,41.2,31,67,148
1/6/2005,Maharashtra,Nashik,NMC Building,Residential and others,42.2,37.3,111,134
1/10/2005,Maharashtra,Nashik,NMC Building,Residential and others,44.7,23.2,118,144
13-01-05,Maharashtra,Nashik,NMC Building,Residential and others,32.8,30.7,133,160
17-01-05,Maharashtra,Nashik,NMC Building,Residential and others,51.7,32.5,108,178
20-01-05,Maharashtra,Nashik,NMC Building,Residential and others,53.8,26.7,107,152
24-01-05,Maharashtra,Nashik,NMC Building,Residential and others,36.8,25,113,167
27-01-05,Maharashtra,Nashik,NMC Building,Residential and others,49.8,29,105,149
31-01-05,Maharashtra,Nashik,NMC Building,Residential and others,42.2,24.5,80,112
2/3/2005,Maharashtra,Nashik,NMC Building,Residential and others,46.3,32.8,80,112
2/7/2005,Maharashtra,Nashik,NMC Building,Residential and others,42.2,27.5,121,220
2/10/2005,Maharashtra,Nashik,NMC Building,Residential and others,40.5,29.5,92,247
14-02-05,Maharashtra,Nashik,NMC Building,Residential and others,39.3,25.7,115,182
17-02-05,Maharashtra,Nashik,NMC Building,Residential and others,37,26.2,148,211
21-02-05,Maharashtra,Nashik,NMC Building,Residential and others,39.2,28.8,143,213
24-02-05,Maharashtra,Nashik,NMC Building,Residential and others,36.8,21.8,90,193
28-02-05,Maharashtra,Nashik,NMC Building,Residential and others,42.2,26.3,104,167
3/3/2005,Maharashtra,Nashik,NMC Building,Residential and others,52.5,31.5,82,128
3/7/2005,Maharashtra,Nashik,NMC Building,Residential and others,38.5,30.8,93,129
3/10/2005,Maharashtra,Nashik,NMC Building,Residential and others,48.8,27.2,107,144
14-03-05,Maharashtra,Nashik,NMC Building,Residential and others,57,47.2,110,146
17-03-05,Maharashtra,Nashik,NMC Building,Residential and others,44.2,28,110,146
21-03-05,Maharashtra,Nashik,NMC Building,Residential and others,50.3,30.3,138,145
24-03-05,Maharashtra,Nashik,NMC Building,Residential and others,41.8,27,NA,NA
28-03-05,Maharashtra,Nashik,NMC Building,Residential and others,31.8,34.2,NA,NA
31-03-05,Maharashtra,Nashik,NMC Building,Residential and others,41.2,32.7,NA,NA
4/4/2005,Maharashtra,Nashik,NMC Building,Residential and others,34.7,33.7,110,208
4/7/2005,Maharashtra,Nashik,NMC Building,Residential and others,40.7,28,110,208
4/11/2005,Maharashtra,Nashik,NMC Building,Residential and others,46.8,27.8,147,172
14-04-05,Maharashtra,Nashik,NMC Building,Residential and others,29.8,28.3,133,NA
18-04-05,Maharashtra,Nashik,NMC Building,Residential and others,45.5,34,95,129
21-04-05,Maharashtra,Nashik,NMC Building,Residential and others,50.2,27.2,108,129
25-04-05,Maharashtra,Nashik,NMC Building,Residential and others,42,31.7,110,208
28-04-05,Maharashtra,Nashik,NMC Building,Residential and others,29.8,21.7,125,165
5/2/2005,Maharashtra,Nashik,NMC Building,Residential and others,44.3,24.5,127,210
5/5/2005,Maharashtra,Nashik,NMC Building,Residential and others,46.3,38.2,167,225
5/9/2005,Maharashtra,Nashik,NMC Building,Residential and others,41.5,41.3,197,230
5/12/2005,Maharashtra,Nashik,NMC Building,Residential and others,37.2,36,190,247
16-05-05,Maharashtra,Nashik,NMC Building,Residential and others,36.8,47.7,167,250
19-05-05,Maharashtra,Nashik,NMC Building,Residential and others,42.8,49.8,115,225
23-05-05,Maharashtra,Nashik,NMC Building,Residential and others,44.5,38,105,228
26-05-05,Maharashtra,Nashik,NMC Building,Residential and others,33.5,45,103,220
30-05-05,Maharashtra,Nashik,NMC Building,Residential and others,30,36.5,104,188
6/2/2005,Maharashtra,Nashik,NMC Building,Residential and others,25.8,20.2,68,85
6/6/2005,Maharashtra,Nashik,NMC Building,Residential and others,28.2,23.7,68,85
6/9/2005,Maharashtra,Nashik,NMC Building,Residential and others,33.7,23.2,51,73
13-06-05,Maharashtra,Nashik,NMC Building,Residential and others,30.8,22.8,51,73
16-06-05,Maharashtra,Nashik,NMC Building,Residential and others,26.8,22.8,72,83
20-06-05,Maharashtra,Nashik,NMC Building,Residential and others,19.8,20.5,83,103
23-06-05,Maharashtra,Nashik,NMC Building,Residential and others,28,24.2,78,103
27-06-05,Maharashtra,Nashik,NMC Building,Residential and others,24,21.7,68,100
30-06-05,Maharashtra,Nashik,NMC Building,Residential and others,20.8,26.8,73,88
7/4/2005,Maharashtra,Nashik,NMC Building,Residential and others,33,25,80,181
7/11/2005,Maharashtra,Nashik,NMC Building,Residential and others,35,25,134,331
