Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
259,1/2/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",42,28,93,181
259,1/6/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",39,28,110,178
259,1/9/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,32,54,177
259,13-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",25,20,87,231
259,16-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,24,112,176
259,20-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",40,26,112,188
259,23-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,19,148,194
259,27-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,23,100,179
259,30-01-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",36,26,112,164
259,2/3/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,21,93,153
259,2/6/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",37,33,106,186
259,2/10/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,20,102,169
259,13-02-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",34,24,115,155
259,17-02-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",23,32,107,149
259,20-02-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,31,87,144
259,24-02-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,18,99,175
259,27-02-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,30,76,147
259,3/2/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",44,25,56,125
259,3/5/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",40,33,67,126
259,3/9/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",42,29,59,128
259,3/12/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,28,61,135
259,16-03-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",34,37,72,133
259,19-03-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",43,42,80,142
259,23-03-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",29,28,89,126
259,26-03-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,34,100,136
259,30-03-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",29,27,74,111
259,4/2/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,26,110,160
259,4/6/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",38,28,77,141
259,4/9/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,26,75,151
259,13-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",44,22,92,171
259,16-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",38,28,110,149
259,20-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",29,35,114,148
259,23-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",33,35,82,158
259,27-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,36,73,147
259,30-04-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",23,36,77,144
259,5/4/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",38,25,72,141
259,5/7/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",44,30,65,124
259,5/11/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,29,88,125
259,14-05-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",34,26,105,146
