Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
259,18-05-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,29,114,181
259,21-05-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",38,31,102,184
259,25-05-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,23,113,164
259,28-05-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",36,26,95,150
259,6/1/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",38,22,56,122
259,6/4/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,20,78,164
259,6/8/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,29,107,176
259,6/11/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",43,26,88,149
259,15-06-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",36,33,105,137
259,18-06-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",34,29,77,155
259,22-06-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,29,70,135
259,25-06-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",33,33,63,116
259,29-06-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",29,28,50,99
259,7/2/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",21,27,44,86
259,7/6/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,21,47,104
259,7/9/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,23,63,130
259,13-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,24,66,116
259,16-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",37,28,32,104
259,20-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,26,60,102
259,23-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",25,27,38,108
259,27-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",25,27,52,106
259,30-07-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,34,49,92
259,8/6/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",45,29,55,119
259,8/10/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,26,75,128
259,13-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",36,29,103,190
259,17-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,25,110,219
259,20-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",22,21,107,173
259,24-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",25,30,100,182
259,27-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",40,31,63,125
259,31-08-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",23,22,52,100
259,9/3/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,27,50,96
259,9/7/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,28,47,84
259,9/10/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",37,33,47,85
259,14-09-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,28,58,111
259,17-09-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,24,75,110
259,21-09-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",39,22,40,74
259,24-09-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,18,45,66
259,28-09-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,26,42,35
259,10/1/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",45,35,47,118
259,10/5/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",41,31,62,121
259,10/8/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",28,27,79,137
259,10/12/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,26,99,228
259,15-10-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",43,22,72,158
259,19-10-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",43,35,53,143
259,22-10-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,29,85,136
259,26-10-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",31,20,62,126
259,29-10-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",22,27,102,154
259,11/2/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,30,61,115
259,11/5/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",29,41,89,109
259,11/9/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,36,105,169
259,11/12/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",33,37,128,182
259,16-11-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,37,118,186
259,19-11-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",27,28,127,195
259,23-11-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,31,118,188
259,26-11-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",35,34,123,177
259,30-11-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",42,29,107,161
259,12/3/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",22,23,80,136
259,12/7/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",34,31,78,139
259,12/10/2004,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",25,33,100,139
259,14-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",24,29,93,151
259,17-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",24,23,64,142
259,21-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,29,71,143
259,24-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",32,22,95,132
259,28-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",39,23,65,129
259,31-12-04,Maharashtra,Nashik,"RTO Colony Tank, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",26,30,73,129
269,14-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,25,19,64,111
269,17-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,21,112,160
269,21-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,21,22,78,170
269,24-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,22,27,83,162
269,28-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,25,40,112,160
269,31-01-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,27,102,134
269,2/4/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,18,89,124
269,2/7/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,27,24,132,181
269,2/11/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,34,130,182
269,14-02-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,28,98,152
269,18-02-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,23,30,107,166
269,21-02-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,34,121,148
269,25-02-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,24,22,120,170
269,28-02-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,27,133,160
269,3/3/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,34,24,31,106
269,3/6/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,42,26,47,141
269,3/10/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,43,29,41,120
269,13-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,32,26,50,120
269,17-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,28,24,77,126
269,20-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,25,92,124
269,24-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,22,82,117
269,27-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,32,20,73,100
269,31-03-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,31,27,55,86
269,4/3/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,43,24,70,127
269,4/7/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,31,30,82,169
269,4/10/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,39,24,83,144
269,14-04-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,45,27,73,113
269,17-04-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,48,37,93,128
269,21-04-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,39,31,105,150
269,24-04-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,48,26,77,121
269,28-04-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,33,25,107,144
269,5/1/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,35,22,49,98
269,5/5/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,37,28,70,135
269,5/8/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,31,27,78,149
269,5/12/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,27,24,104,172
269,15-05-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,30,23,78,172
269,19-05-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,32,18,63,164
269,22-05-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,38,26,46,115
269,26-05-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,28,16,85,141
269,29-05-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,26,22,78,125
269,6/2/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,38,34,44,126
269,6/5/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,41,25,68,146
269,6/9/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,33,29,118,148
269,6/12/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,42,30,88,154
269,16-06-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,34,24,62,104
269,19-06-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,27,27,103,180
269,23-06-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,35,22,128,184
269,26-06-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,47,22,85,139
269,30-06-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,25,68,120
269,7/3/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,29,17,41,80
269,7/7/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,24,24,29,87
269,7/10/2004,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,23,21,45,116
269,14-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,31,21,48,136
269,17-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,23,28,37,119
269,21-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,18,25,36,107
269,24-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,26,20,45,105
269,28-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,19,16,31,101
269,31-07-04,Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura, Nasik","K.R.T.Arts,B.H.Commerce and A.M. Science College",Industrial Area,25,29,36,95
