Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
547,1/2/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,15,137,NA
547,1/6/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,17,138,NA
547,1/9/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,17,146,NA
547,13-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",18,18,155,NA
547,16-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,16,143,NA
547,20-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,15,142,NA
547,23-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,17,161,NA
547,27-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",18,19,154,NA
547,30-01-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,16,180,NA
547,2/3/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13,16,171,NA
547,2/6/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,169,NA
547,2/10/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,163,NA
547,13-02-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,19,178,NA
547,17-02-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,15,176,NA
547,20-02-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,15,178,NA
547,24-02-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,16,191,NA
547,27-02-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,15,193,NA
547,3/3/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,189,NA
547,3/6/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,16,193,NA
547,3/10/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,18,197,NA
547,13-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,19,198,NA
547,17-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,20,197,NA
547,20-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,18,200,NA
547,24-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,18,186,NA
547,27-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,17,194,NA
547,31-03-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,19,201,NA
547,4/3/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,18,183,NA
547,4/7/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,17,183,NA
547,4/10/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,18,193,NA
547,14-04-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,17,188,NA
547,17-04-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,190,NA
547,21-04-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,20,199,NA
547,24-04-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,18,187,NA
547,28-04-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,18,191,NA
547,5/1/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,190,NA
547,5/5/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,17,194,NA
547,5/8/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,18,192,NA
547,5/12/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,20,194,NA
547,15-05-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,18,189,NA
547,19-05-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",14,17,190,NA
547,22-05-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,18,198,NA
547,26-05-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15,17,193,NA
547,31-05-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16,19,193,NA
547,7/3/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,14,182,NA
547,7/7/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,169,NA
547,7/10/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,14,169,NA
547,14-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,12,165,NA
547,17-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,14,162,NA
547,21-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13,15,158,NA
547,24-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,12,153,NA
547,28-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,162,NA
547,31-07-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,10,79,NA
547,8/4/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,15,142,NA
547,8/7/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12,14,143,NA
547,8/11/2010,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13,15,147,NA
547,14-08-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,137,NA
547,18-08-10,Maharashtra,Amravati,"Rajkamal Square, Family Planning Centre Building of Vaneeta Samaj, Dts Amravati",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13,15,156,NA
